Detected District	Detected State	Latitude	Longitude
Coimbatore	Tamil Nadu	11.0018115	76.96284250000002
Munger	Bihar	25.22081165	86.51720367235285
Patna	Bihar	25.6093239	85.1235252
Bhopal	Madhya Pradesh	23.2530923	77.3962718
Bhadradri Kothagudem	Telangana	17.71534525	80.57149761778712
Uttara Kannada	Karnataka	14.72447415	74.64223734496612
Kozhikode	Kerala	11.2446144	75.7759372
Tirunelveli	Tamil Nadu	8.8082342	77.8114843
Jodhpur	Rajasthan	26.2967719	73.0351433
Palwal	Haryana	28.12502575	77.35831300773046
Sangli	Maharashtra	16.8502534	74.5948885
Satara	Maharashtra	17.63612885	74.29827807601781
Kanpur Nagar	Uttar Pradesh	26.4402119	80.26930513416637
Pilibhit	Uttar Pradesh	28.49520765	80.10754080018077
Pratapgarh	Rajasthan	25.75	81.75
Tiruppur	Tamil Nadu	10.78322705	77.52604780096844
Madurai	Tamil Nadu	9.9261153	78.1140983
Jaunpur	Uttar Pradesh	25.7955927	82.48834097504384
Imphal West	Manipur	24.75732600000001	93.85847858025149
Dakshina Kannada	Karnataka	12.82133045	75.22767162650372
Ranga Reddy	Telangana	12.9554461	80.25303740000003
Bandipore	Jammu and Kashmir	34.0476564	76.7972892
Jalandhar	Punjab	31.29201065	75.56805772253911
Palakkad	Kerala	10.7691989	76.6512469
Chittoor	Andhra Pradesh	13.1601048	79.15555061803596
Indore	Madhya Pradesh	22.7205162	75.8681124
Ujjain	Madhya Pradesh	23.174597	75.78514229999998
Gwalior	Madhya Pradesh	26.2037247	78.1573628
Aizawl	Mizoram	23.7414092	92.7209297
Salem	Tamil Nadu	11.6612012	78.1602498
Udupi	Karnataka	13.3419169	74.74732320000003
Shivpuri	Madhya Pradesh	25.37524125	77.82811932629714
Chitradurga	Karnataka	14.2266443	76.4005122
Ludhiana	Punjab	30.9090157	75.851601
Pauri Garhwal	Uttarakhand	29.84591115	78.70766746320547
Rajnandgaon	Chhattisgarh	20.9727404	80.69155548263583
Vellore	Tamil Nadu	12.7948109	79.0006410968549
Guntur	Andhra Pradesh	16.2915189	80.4541588
North Goa	Goa	15.60444125	74.00172406307475
Bilaspur	Chhattisgarh	28.8680526	79.29838501460121
Durg	Chhattisgarh	21.19903535	81.39795455736571
Baghpat	Uttar Pradesh	28.97240405	77.33315284938224
South Andaman	Andaman and Nicobar Islands	10.7056905	92.48746789633371
Medchal Malkajgiri	Telangana	17.53498345	78.52463873502381
Tiruchirappalli	Tamil Nadu	10.804973	78.6870296
Wayanad	Kerala	11.715219	76.12690294658198
Rajouri	Jammu and Kashmir	33.3772495	74.3132332
Kolhapur	Maharashtra	16.702841199999998	74.2405329
North and Middle Andaman	Andaman and Nicobar Islands	12.61123865	92.83165406414926
Siwan	Bihar	26.1310043	84.39125660595198
Nalanda	Bihar	25.1364914	85.44365464855682
Gondiya	Maharashtra	21.1456285	80.26838674856235
Tumakuru	Karnataka	13.3400771	77.1006208
Kollam	Kerala	8.96699645	76.85828880345855
Davanagere	Karnataka	14.4661266	75.9206361
Nadia	West Bengal	23.48454125	88.55676307470536
Chengalpattu	Tamil Nadu	12.76657415	79.99931906821485
Mahesana	Gujarat	23.666667	72.5
Thanjavur	Tamil Nadu	10.7860267	79.1381497
Ajmer	Rajasthan	26.4691	74.639
Virudhunagar	Tamil Nadu	9.5208936	77.87845639618651
Purba Medinipur	West Bengal	22.06382145	87.74573460267038
Meerut	Uttar Pradesh	28.916667	77.68333299999998
Jalgaon	Maharashtra	20.84351185	75.52592658756026
Kurnool	Andhra Pradesh	15.830925099999998	78.0425373
Kalimpong	West Bengal	27.071690000000004	88.4729
Lakhisarai	Bihar	25.1677029	86.05935924304018
Ambala	Haryana	30.3843674	76.770421
Badgam	Jammu and Kashmir	33.909931900000004	74.62914425779809
Baramula	Jammu and Kashmir	34.2086903	74.343498
Porbandar	Gujarat	21.6409	69.611
Gir Somnath	Gujarat	20.9911049	70.68806405046848
Bhagalpur	Bihar	25.28669805	87.13225355111149
Bareilly	Uttar Pradesh	28.457876	79.40557093743058
Hooghly	West Bengal	22.9052114	88.3760639
Nashik	Maharashtra	20.0112475	73.79023640000003
Bhavnagar	Gujarat	21.7718836	72.1416449
Karur	Tamil Nadu	10.9301522	78.08485454572889
Shopian	Jammu and Kashmir	33.718807	74.8333311
Ballari	Karnataka	15.2485413	76.8323648
Alwar	Rajasthan	27.63907705	76.6144524902045
Korba	Chhattisgarh	22.51976955	82.62951462416818
Buldana	Maharashtra	20.46134405	76.09621899921488
Dungarpur	Rajasthan	23.666667	73.75
Gopalganj	Bihar	26.4207265	84.37406407415166
Medinipur East	West Bengal	22.4207025	87.3269963
Howrah	West Bengal	22.5882216	88.323139
South 24 Parganas	West Bengal	22.1815262	88.53780483989941
Tiruvannamalai	Tamil Nadu	12.22721295	79.07015554906167
Viluppuram	Tamil Nadu	11.9137874	79.50789297942772
Anantapur	Andhra Pradesh	14.654623499999998	77.55625984224562
Ranchi	Jharkhand	23.3700354	85.3250132
Sirsa	Haryana	29.583333000000003	75.083333
Cachar	Assam	24.75863995000001	92.8816647576822
Hisar	Haryana	29.168807	75.7461103
Namakkal	Tamil Nadu	11.2191319	78.23739801779962
Kanniyakumari	Tamil Nadu	8.0879641	77.54674140000002
Thoothukkudi	Tamil Nadu	8.756745200000001	78.07975266019861
Gaya	Bihar	24.7964355	85.0079563
Bhadrak	Odisha	21.0633288	86.50537309999999
Puducherry	Puducherry	11.934056800000002	79.83064470000002
West Godavari	Andhra Pradesh	17.0	81.166667
Y.S.R.	Andhra Pradesh	11.6707584	78.1136983
Begusarai	Bihar	25.512719399999998	86.09057109140021
Kamrup Metropolitan	Assam	26.13526375	91.8616706252462
Theni	Tamil Nadu	9.969664300000002	77.47420048524822
Dindigul	Tamil Nadu	10.3303299	78.0673979084697
Sivaganga	Tamil Nadu	9.851231	78.53047154820716
Tirupathur	Tamil Nadu	12.4533064	78.55290857022919
Thiruvarur	Tamil Nadu	10.73618605	79.63318659437627
Panch Mahals	Gujarat	23.0	74.0
Jorhat	Assam	26.757792499999997	94.2079645
Tonk	Rajasthan	26.12214725	75.66375373932236
Churu	Rajasthan	28.206144300000002	74.69190729963461
Goalpara	Assam	26.178362300000003	90.6226683
Rohtak	Haryana	28.9010899	76.58019350000002
Bidar	Karnataka	18.083333	77.333333
No foreign travel history	Kerala	10.352874400000001	76.5120396
Lohit	Arunachal Pradesh	28.03501615	96.17135154220676
Ranipet	Tamil Nadu	12.9272641	79.33300759999999
Ramanathapuram	Tamil Nadu	9.3895523	78.85907071521498
Thiruvallur	Tamil Nadu	13.13014755	79.92435386254967
Morena	Madhya Pradesh	26.166667	77.5
Hazaribagh	Jharkhand	23.9675151	85.43884568595615
Saran	Bihar	25.90835495	84.78074760594323
Bikaner	Rajasthan	28.015928600000002	73.3171367
Kadapa	Andhra Pradesh	14.475293599999999	78.8216861
Pali	Rajasthan	25.6040908	73.41560878556902
Sikar	Rajasthan	27.66282600000001	75.02792628691331
Lakhimpur	Uttar Pradesh	27.98506015	80.75384538357649
Shamli	Uttar Pradesh	29.5008816	77.34838258540861
Evacuees	Rajasthan	26.8105777	73.76845490000002
Bulandshahr	Uttar Pradesh	28.38886085	77.97479772598119
Basti	Uttar Pradesh	27.25	83.0
Dhaulpur	Rajasthan	26.6533959	77.62420559295163
Udaipur	Rajasthan	24.578721	73.6862571
Bharatpur	Rajasthan	27.26521245	77.36912554739122
Chhindwara	Madhya Pradesh	22.13983105	78.80964495467987
Osmanabad	Maharashtra	18.16984395	76.11796321159572
Una	Himachal Pradesh	31.583333000000003	76.25
Udham Singh Nagar	Uttarakhand	29.0480988	79.4313133223357
Bagalkote	Karnataka	16.28998085	75.58255865030114
Hardoi	Uttar Pradesh	27.33857665	80.0975264641719
Shahjahanpur	Uttar Pradesh	27.91263315	79.74656294869827
Firozabad	Uttar Pradesh	27.17736635	78.38991197951181
Azamgarh	Uttar Pradesh	26.02269675	83.02887343114848
Saharanpur	Uttar Pradesh	29.9880774	77.5081299470512
Hapur	Uttar Pradesh	28.7406125	77.83542556519009
Nuh	Haryana	28.09734515	77.05085582101852
Cuttack	Odisha	20.4686	85.8792
Dausa	Rajasthan	26.80486585	76.4437456992933
Nagapattinam	Tamil Nadu	10.8056276	79.824659783024
Nalbari	Assam	26.42386165	91.4512275462117
South Salmara Mancachar	Assam	26.4073841	93.2551303
Kashmir	Jammu and Kashmir	26.2644203	71.6027498
Belagavi	Karnataka	15.8572666	74.5069343
Karnal	Haryana	29.6803266	76.98962540000002
Washim	Maharashtra	20.28792095	77.23606281061035
Hingoli	Maharashtra	19.54140965	77.17376601317515
Puri	Odisha	19.8076083	85.8252538
Jajapur	Odisha	20.827789199999998	86.37983525915192
Ghazipur	Uttar Pradesh	25.60350840000001	83.50745404887138
Kamrup	Assam	26.12755515	91.2998714797357
Morigaon	Assam	26.252273	92.3548836
Golaghat	Assam	26.40490095	94.03209112120626
Banswara	Rajasthan	23.4930788	74.34840231310622
Udhampur	Jammu and Kashmir	33.0	75.166667
Amravati	Maharashtra	21.15454115	77.64429617998744
Patan	Gujarat	23.77405735	71.68373465668735
Rupnagar	Punjab	31.09168085	76.5272673916138
Mansa	Punjab	29.8769971	75.4889866137018
Bhiwani	Haryana	28.7931703	76.1391283
Kaithal	Haryana	29.74477075	76.35092772284784
Bengaluru Rural	Karnataka	13.18077825	77.3417423692337
Banda	Uttar Pradesh	25.5008211	80.499762
Maharajganj	Uttar Pradesh	27.09254225	83.56696261338256
Nainital	Uttarakhand	29.2031392	79.4176945
Haridwar	Uttarakhand	29.9384473	78.1452985
Cuddalore	Tamil Nadu	11.74269375	79.75030644171935
Kallakurichi	Tamil Nadu	11.79468465	79.03882106200822
Perambalur	Tamil Nadu	11.2287716	78.8182555496278
Pathankot	Punjab	32.301710400000005	75.65864246622084
Faridkot	Punjab	30.60092505	74.79477422840448
Hatras	Uttar Pradesh	27.1303344	80.859666
Mirzapur	Uttar Pradesh	24.9356347	82.64770129811649
Khargone	Madhya Pradesh	21.8187743	75.6064577
Kalahandi	Odisha	19.75	83.0
Latur	Maharashtra	18.35146855	76.7551212230513
Karauli	Rajasthan	26.51668105	77.05772976517363
Chota Udaipur	Gujarat	22.41540825	72.03149703699282
Bokaro	Jharkhand	23.69912795	85.9910689416502
Barnala	Punjab	30.3704685	75.504017418548
Sindhudurg	Maharashtra	16.135719299999998	73.65220860183584
Gujarat*	Maharashtra	22.41540825	72.03149703699282
Patiala	Punjab	30.2090874	76.33987208562209
The Nilgiris	Tamil Nadu	11.4	76.7
Nagaur	Rajasthan	27.0607859	74.17667537582712
Barwani	Madhya Pradesh	21.75194325	74.89175175338488
Rae Bareli	Uttar Pradesh	26.25	81.25
Bara Banki	Uttar Pradesh	26.901331199999998	81.21516009999998
Auraiya	Uttar Pradesh	26.65573395	79.51504701181831
Warangal Urban	Telangana	18.02625695	79.46444493996634
Vikarabad	Telangana	17.2702855	77.74529700637382
Adilabad	Telangana	19.5	78.5
Nirmal	Telangana	19.091520950000003	78.39660898429065
Nizamabad	Telangana	26.05531795000001	82.99313867937335
Peddapalli	Telangana	18.62065305	79.49501710882896
Sangareddy	Telangana	17.86859205	77.8228199507381
Jamnagar	Gujarat	22.4732415	70.0552102
Morbi	Gujarat	22.817666199999998	70.8345928
Jaisalmer	Rajasthan	27.02801615	70.7785056232077
Kota	Rajasthan	25.196825600000004	76.00089330885551
Palghar	Maharashtra	19.68086385	72.82537342511341
Almora	Uttarakhand	29.703095	79.43317023326715
Dadra and Nagar Haveli	Dadra and Nagar Haveli	20.2735169	73.0043578
Kaushambi	Uttar Pradesh	25.53609455	81.44672838764605
Bijnor	Uttar Pradesh	29.40604895	78.48087839917878
Prayagraj	Uttar Pradesh	25.4381302	81.8338005
Sitapur	Uttar Pradesh	27.5046392	80.82946583420815
Ariyalur	Tamil Nadu	11.07603595	79.11745538182737
Fatehgarh Sahib	Punjab	30.660076399999998	76.38002163710027
Kapurthala	Punjab	31.38524095	75.30552273989395
Italians	Rajasthan	26.8105777	73.76845490000002
Kheri	Uttar Pradesh	28.18478255	80.71293034127797
Shupiyan	Jammu and Kashmir	33.718807	74.8333311
Mahrajganj	Uttar Pradesh	27.18273965	83.4908550985302
Hathras	Uttar Pradesh	27.57324325	78.11173866751716
Jalna	Maharashtra	19.9182328	75.8686246900443
Charki Dadri	Haryana	29.0	76.0
Betul	Madhya Pradesh	21.8796162	77.8756812456308
Vidisha	Madhya Pradesh	23.916667	78.0
Kendrapara	Odisha	20.50040085	86.43170622796478
Gomati	Tripura	23.4613369	91.60718003817725
Dhubri	Assam	26.01894625	89.9418895246152
Anand	Gujarat	22.5584995	72.96256290000002
Sabar Kantha	Gujarat	23.5	73.25
Gadag	Karnataka	15.4263647	75.63007859999998
Mandya	Karnataka	12.5238888	76.89619609999998
Moga	Punjab	30.7839866	75.16057422541162
Jind	Haryana	29.5	76.25
Jagitial	Telangana	18.7971269	78.9224727
Jogulamba Gadwal	Telangana	16.0999202	77.73415835077523
Mahabubnagar	Telangana	16.696568550000002	77.95911462089694
Suryapet	Telangana	17.08001385	79.7925329742427
Satna	Maharashtra	24.5	81.0
Sheopur	Madhya Pradesh	25.6656611	76.6954843
Hailakandi	Assam	24.68845365	92.57381528240944
Italians*	Rajasthan	26.8105777	73.76845490000002
Other Region*	Madhya Pradesh	23.8143419	77.5340719
Fatehabad	Haryana	27.02766825	78.20743411341459
Mathura	Uttar Pradesh	27.633333	77.583333
Budaun	Uttar Pradesh	28.06831165	79.04607312079294
Rampur	Uttar Pradesh	28.79406825	79.1859304458554
Jhalawar	Rajasthan	24.313236800000002	76.52223626123003
Nawada	Bihar	24.818124	85.5185562336921
Sirmaur	Himachal Pradesh	30.75	77.5
Barmer	Rajasthan	25.581903399999998	71.61966242777196
Khandwa	Madhya Pradesh	21.9778642	76.5688282326971
Dhar	Madhya Pradesh	22.5	75.25
Dahod	Gujarat	22.8358542	74.2556782
Dhenkanal	Odisha	20.75	85.5
Muzaffarnagar	Uttar Pradesh	29.44800635	77.74068502568672
Amroha	Uttar Pradesh	28.9233969	78.48831693262684
Tenkasi	Tamil Nadu	9.09407535	77.47583689833286
Thirupathur	Tamil Nadu	12.5457174	78.5764075
Sri Muktsar Sahib	Punjab	30.4692	74.5182
Sangrur	Punjab	30.2093363	75.8184224340909
EVACUEES	Rajasthan	26.8105777	73.76845490000002
Akola	Maharashtra	20.7618624	77.19217162524623
Other States	Maharashtra	19.531932	76.0554568
Bharuch	Gujarat	21.75	73.0
Other States*	Maharashtra	19.531932	76.0554568
Bid	Maharashtra	18.9918442	75.90978399809711
Hoshangabad	Madhya Pradesh	22.600150199999998	77.92664521413192
Raisen	Madhya Pradesh	23.25	78.083333
Dewas	Madhya Pradesh	23.0	76.166667
Sagar	Madhya Pradesh	23.80961225	78.75911360578634
Shajapur	Madhya Pradesh	23.37074105	76.62051527475785
North Tripura	Tripura	24.092147600000004	92.24512135019847
Raigarh	Maharashtra	22.5	83.5
Kodarma	Jharkhand	24.54215575	85.6932396589306
Bhadohi	Uttar Pradesh	25.42292275	82.48843708088576
Dhule	Maharashtra	21.13050145	74.47891180551228
Rajanna Sircilla	Telangana	18.452116	78.76455837158737
Khammam	Telangana	17.5	80.333333
Siddipet	Telangana	18.005585099999994	78.89611304969961
Medak	Telangana	17.9375095	78.21174498510585
Mahabubabad	Telangana	17.7138983	80.04134252767226
Solan	Himachal Pradesh	30.92589585	77.08200509063623
Chamba	Himachal Pradesh	32.5	76.5
Nalgonda	Telangana	16.8579636	79.21749353315549
Nagarkurnool	Telangana	16.415762649999998	78.68304333132829
Mulugu	Telangana	18.1932372	79.94136759999998
Pulwama	Jammu and Kashmir	33.89829355	74.89634093792017
Kupwara	Jammu and Kashmir	34.6110236	74.238478667319
Ganderbal	Jammu and Kashmir	34.193425500000004	74.83434976826678
Kamareddy	Telangana	18.316551	78.05393808043348
Kulgam	Jammu and Kashmir	33.669800550000005	75.01480232217389
Kishtwar	Jammu and Kashmir	33.2761171	75.8169238781403
Samba	Jammu and Kashmir	32.57591175	75.12034455530063
Jayashankar	Telangana	18.5159872	79.96939659792528
Jangoan	Telangana	17.7557919	79.13238961179245
Ratlam	Madhya Pradesh	23.50195775000001	74.95284518680097
Mandsaur	Madhya Pradesh	24.265130600000006	75.38718193725013
Sundargarh	Odisha	22.25	84.5
Vijayapura	Karnataka	16.666667	75.916667
Hanumangarh	Rajasthan	29.36720015	74.29836365065901
Evacuees*	Rajasthan	26.8105777	73.76845490000002
Kurukshetra	Haryana	29.9693747	76.8482787
Yamunanagar	Haryana	30.2112003	77.28638972360895
Dimapur	Nagaland	25.9135914	93.7283707
Solapur	Maharashtra	17.84990665	75.27632027348456
Banas Kantha	Gujarat	24.25	72.5
Giridih	Jharkhand	24.25	85.916667
Kasganj	Uttar Pradesh	27.883846050000002	78.63489003747873
Etawah	Uttar Pradesh	26.718324350000003	79.09025375025163
East Khasi Hills	Meghalaya	25.405680850000003	91.83546771298455
Bijapur	Uttar Pradesh	18.769041350000002	80.74151192966231
Sambhal	Uttar Pradesh	28.61875255	78.55087405404804
Gurdaspur	Punjab	31.904229899999997	75.22738141098935
